,Unnamed: 0,Date,Store Name,Address,City,Zip Code,Store Location,Vendor Name,Item Number,Item Description,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Year,Total Bottles Sold
379,1307,05/04/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Sazerac North America,8827,Lauder's,1000,$6.14,$9.21,12,$110.52,12.0,2015,
521,1901,03/09/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Blaum Bros. Distilling Co.,74664,HellFyre,750,$14.00,$21.00,3,$63.00,2.25,2015,
787,2949,09/02/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Jim Beam Brands,27783,Jim Beam Apple,750,$10.49,$15.74,2,$31.48,1.5,2015,
1175,4629,01/12/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Prestige Wine and Spirits Group,75214,Kinky Blue,750,$10.00,$15.00,12,$180.00,9.0,2015,
1249,4969,09/21/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Jim Beam Brands,27048,Knob Creek Rye,750,$20.99,$31.49,1,$31.49,0.75,2015,
1473,5863,04/08/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Diageo Americas,37417,Popov Vodka 80 Prf,1000,$5.50,$8.25,12,$99.00,12.0,2015,
1526,6084,06/24/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Diageo Americas,43226,Captain Morgan Parrot Bay Passion Fruit,750,$7.49,$11.24,1,$11.24,0.75,2015,
1732,7054,11/09/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Brown-Forman Corporation,26586,Gentleman Jack,750,$20.01,$30.02,2,$60.04,1.5,2015,
1808,7402,11/04/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Pernod Ricard USA/Austin Nichols,15627,Jameson,1000,$18.49,$27.74,48,$1331.52,48.0,2015,
1905,7801,02/11/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Sazerac North America,73986,Di Amore Amaretto,750,$6.00,$9.00,12,$108.00,9.0,2015,
2895,12139,05/04/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Diageo Americas,37997,Smirnoff Vodka 80 Prf,1000,$9.25,$13.88,12,$166.56,12.0,2015,
3718,15729,02/11/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Jim Beam Brands,19226,Knob Creek,750,$20.99,$31.49,6,$188.94,4.5,2015,
3858,16302,04/06/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Gemini Spirits,66936,Grangala Triple Orange Liqueur,750,$11.02,$16.53,12,$198.36,9.0,2015,
4074,17261,10/05/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",The Patron Spirits Company,67595,Patron Xo Cafe,750,$14.50,$21.75,6,$130.50,4.5,2015,
4656,19640,11/11/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Sazerac North America,35947,Fleischmann's Royal Vodka,1000,$4.00,$6.00,12,$72.00,12.0,2015,
4800,20250,10/07/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Diageo Americas,43338,Captain Morgan Spiced Rum,1750,$18.00,$27.00,6,$162.00,10.5,2015,
5067,21403,11/02/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Laird And Company,23827,Five Star,1000,$4.40,$6.60,12,$79.20,12.0,2015,
5340,22507,08/31/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Louisville Distilling Co,16562,Angel's Envy Port Finished,750,$24.50,$36.75,2,$73.50,1.5,2015,
5342,22523,09/23/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",The Patron Spirits Company,88296,Patron Tequila Silver,750,$27.00,$40.50,60,$2430.00,45.0,2015,
5519,23228,06/30/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Phillips Beverage Company,41694,Uv Blue (raspberry) Vodka,1000,$7.50,$11.25,12,$135.00,12.0,2015,
5840,24552,06/15/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Mccormick Distilling Company,41943,360 Georgia Peach Vodka,750,$7.00,$10.50,3,$31.50,2.25,2015,
5849,24601,03/25/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Sazerac North America,21597,Ten High,1000,$4.94,$7.41,12,$88.92,12.0,2015,
5860,24632,06/10/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Proximo,87511,1800 Silver,1000,$15.46,$23.19,6,$139.14,6.0,2015,
6120,25732,11/02/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)","Bacardi U.S.A., Inc.",43127,Bacardi Superior Rum,1000,$9.50,$14.25,24,$342.00,24.0,2015,
6514,27391,06/22/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Diageo Americas,43337,Captain Morgan Spiced Rum,1000,$11.75,$17.63,120,$2115.60,120.0,2015,
6929,29116,01/21/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Diageo Americas,11366,Crown Royal Special Reserve,750,$25.00,$37.50,3,$112.50,2.25,2015,
7079,29691,07/06/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Pernod Ricard USA/Austin Nichols,5037,Glenlivet 12 Yr Malt Scotch,1000,$27.49,$41.24,12,$494.88,12.0,2015,
7166,30107,11/11/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Diageo Americas,77648,Smirnoff Citrus,1000,$9.25,$13.88,12,$166.56,12.0,2015,
7194,30237,10/28/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Jim Beam Brands,82637,Dekuyper Grape Pucker,1000,$7.62,$11.43,12,$137.16,12.0,2015,
7200,30260,04/27/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Diageo Americas,28867,Tanqueray Gin,1000,$15.25,$22.88,24,$549.12,24.0,2015,
7420,31156,03/11/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Diageo Americas,10807,Crown Royal Regal Apple,750,$15.00,$22.50,24,$540.00,18.0,2015,
